"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"On National Voter Registration Day, it’s up to us as citizens to make sure everyone we know can make their voices h… https://t.co/rYRdykNARc",FALSE,65060,NA,2019-09-24 16:03:21,TRUE,NA,"1176527551684141056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",17595,FALSE,FALSE,NA,NA
"One challenge will define the future for today’s young generation more dramatically than any other: Climate change.… https://t.co/MYeQbArWwu",FALSE,248142,NA,2019-09-20 20:38:04,TRUE,NA,"1175147135303585798",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",39941,FALSE,FALSE,NA,NA
"Just 16, @GretaThunberg is already one of our planet’s greatest advocates. Recognizing that her generation will bea… https://t.co/mrXtVgE3aN",FALSE,353372,NA,2019-09-17 20:24:37,TRUE,NA,"1174056583610949632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",54397,FALSE,FALSE,NA,NA
"That’s what Americans do when others are in need – we help. We give. We inspire. Want to make a difference? There a… https://t.co/2mdo9GlaLl",FALSE,17051,"BarackObama",2019-09-12 18:10:20,TRUE,"1172210761583812616","1172210852415643650","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3026,FALSE,FALSE,NA,NA
"Jermaine Bell is just six years old, but when he saw people in need, he took the money he’d been saving for a trip… https://t.co/W4LaUUEYe6",FALSE,24288,"BarackObama",2019-09-12 18:09:58,TRUE,"1172210649654616067","1172210761583812616","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3111,FALSE,FALSE,NA,NA
"Bahamian families and communities face a long recovery from Hurricane Dorian. And Americans are reaching out to hel… https://t.co/9AbyqU5gcf",FALSE,56925,NA,2019-09-12 18:09:32,TRUE,NA,"1172210649654616067",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",8715,FALSE,FALSE,NA,NA
"As we remember those we lost on 9/11, we also remember the spirit of unity and togetherness that defined the weeks… https://t.co/vVlN1ckjQg",FALSE,183958,NA,2019-09-11 12:19:35,TRUE,NA,"1171760194898059266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",32817,FALSE,FALSE,NA,NA
"Marca had a remarkable way of bringing out the best within us. For me, she was a trusted voice and a persistent, bu… https://t.co/NKXEI9izsi",FALSE,43704,NA,2019-09-09 16:00:11,TRUE,NA,"1171090934257397760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5855,FALSE,FALSE,NA,NA
"Yesterday’s ruling is a big win for North Carolina—and for all of us. Voters should choose their representatives, n… https://t.co/nQ1T3U3eBU",FALSE,124490,NA,2019-09-04 19:09:00,TRUE,NA,"1169326512706936833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",21742,FALSE,FALSE,NA,NA
"Saw this story of a young person doing great work and wanted to share it—keep it up, David! That’s some creative or… https://t.co/LI2hQ3Tovf",FALSE,70524,NA,2019-08-28 20:24:49,TRUE,NA,"1166808878807470086",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",10567,FALSE,FALSE,NA,NA
